"Sample_ID","uniquely_mapped_total","FemaleID","Date","RIN","Postcop","swelling","male_presence","cycle","phase","phasecode","SampleType","MaleID","DyadID","MHCI_allele_comp","MHCII_allele_comp","MHCI_supertype_comp","MHCII_supertype_comp","Male_stMLH","Male_MHCI_allele","Male_MHCII_allele","Male_MHCI_supertype","Male_MHCII_supertype","KINSHIP"
"262",21650497,"Viva","7/15/19",5.6,"Y","LGS","With Male",2,"fertile","F","Vaginal","Auguste",6,0.8182,0.3333,0.888888888888889,0.333333333333333,0.984761238,11,6,9,6,-0.0546244
"264",21130424,"Viva","7/16/19",2.7,"Y","LGS","With Male",2,"fertile","F","Vaginal","Auguste",6,0.8182,0.3333,0.888888888888889,0.333333333333333,0.984761238,11,6,9,6,-0.0546244
"266",21294375,"Viva","7/17/19",5.9,"Y","LGS","With Male",2,"fertile","F","Vaginal","Auguste",6,0.8182,0.3333,0.888888888888889,0.333333333333333,0.984761238,11,6,9,6,-0.0546244
"269",26982188,"Viva","7/19/19",3.8,"Y","DGS","With Male",2,"post-fertile","PostF","Vaginal","Auguste",6,0.8182,0.3333,0.888888888888889,0.333333333333333,0.984761238,11,6,9,6,-0.0546244
"270B",5969898,"Salade","7/24/19",8,"Y","MGS","With Male",1,"pre-fertile","PreF","Vaginal","Alf",9,0.1176,0.1667,0.5,0.6,0.986394341,9,7,8,5,-0.100036
"271",4324173,"Salade","7/25/19",8,"N","MGS","With Male",1,"pre-fertile","PreF","Vaginal","Alf",9,0.1176,0.1667,0.5,0.6,0.986394341,9,7,8,5,-0.100036
"273",6489601,"Salade","7/27/19",6.5,"N","MGS","With Male",1,"pre-fertile","PreF","Vaginal","Alf",9,0.1176,0.1667,0.5,0.6,0.986394341,9,7,8,5,-0.100036
"274",6916511,"Salade","7/29/19",6.1,"N","LGS","With Male",1,"fertile","F","Vaginal","Alf",9,0.1176,0.1667,0.5,0.6,0.986394341,9,7,8,5,-0.100036
"275",6685907,"Salade","7/29/19",5.6,"Y","LGS","With Male",1,"fertile","F","Vaginal","Alf",9,0.1176,0.1667,0.5,0.6,0.986394341,9,7,8,5,-0.100036
"277",4747419,"Salade","7/30/19",7.6,"Y","LGS","With Male",1,"fertile","F","Vaginal","Alf",9,0.1176,0.1667,0.5,0.6,0.986394341,9,7,8,5,-0.100036
"279",5303274,"Sottise","7/31/19",7.6,"Y","MGS","With Male",2,"non-fertile","NonF","Vaginal","Alf",8,0.3125,0,0.8,0.166666666666667,0.986394341,9,7,8,5,-0.176989
"28",18505055,"Vertige","1/11/19",5.6,"N","MGS","With Male",2,"pre-fertile","PreF","Vaginal","Momo",2,0.4,0.4,0.666666666666667,0.833333333333333,1.038536994,10,8,6,5,0.237535
